word,definition
تَقاطَرَ,"[ق ط ر]. (فعل: خماسي لازم). تَقاطَرَ، يَتَقاطَرُ، مصدر تَقاطُرٌ. ; 1.""تَقاطَرَ الماءُ"" : سالَ قَطْرَةً قَطْرَةً. ; 2.""تَقاطَرَ الدَّمُ"" : نَزَفَ قَطْرَةً قَطْرَةً. ""تَقاطَرَ الدَّمْعُ في عَيْنِهِ حُزْناً وَتَفَجُّعاً"". ; 3.""تَقَاطَرَ القَوْمُ"" : جاءوا وَتَتَابَعُوا أَفْواجاً أَفْواجاً."
تَقَلَّى,"[ق ل و]. (فعل: خماسي لازم، متعد بحرف). تَقَلَّى، يَتَقَلَّى، مصدر تَقَلٍّ. ; 1.""تَقَلَّى الْمَريضُ"" : تَمَلْمَلَ يَمْنَةً وَيَسْرَةً. ; 2.""تَقَلَّى إِلَيْهِ"" : تَبَغَّضَ إِلَيْهِ."
تَقايُضٌ,"[ق ي ض]. (مصدر تَقايَضَ). ""تَقايُضُ التَّاجِرَيْنِ البَضائِعَ"" : تَبادُلُها، تَعاوُضُها."
تَكَرُّشٌ,"[ك ر ش]. (مصدر تَكَرَّشَ). ; 1.""تَكَرُّشُ الوَجْهِ"": تَقَبُّضُ جِلْدِهِ، تَقَلُّصُهُ. ; 2.""تَكَرُّشُ النَّاسِ"" : تَجَمُّعُهُمْ."
تَكافَلَ,"[ك ف ل]. (فعل: خماسي لازم). تَكافَلْتُ، أَتَكافَلُ، مصدر تَكافُلٌ. ""تَكافَلَ الصَّديقانِ"" : كَفِلَ، ضَمِنَ أَحَدُهُما الآخَرَ."
تَلأْلأََ,"[ل أ ل أ]. (فعل: خماسي لازم). تَلأْلأَ، يَتَلأْلأُ، مصدر تَلأْلُؤٌ. ; 1.""تَلألأَ النَّجْمُ"" : لَمَعَ. ""وَجَدْتُ الْمَدامِعَ تَتَلأْلأُ في عَيْنَيْهِ"". (جبران خ. جبران). ; 2.""تَلأْلأَ وَجْهُهُ فَرَحاً"": أَشْرَقَ، اِسْتَنارَ. ; 3.""تَلألأَتِ النِّيرانُ"" : اِتَّقَدَتْ، اِضْطَرَمَتْ."
تَلَقٍّ، التَّلَقِّي,"[ل ق ي]. (مصدر تَلَقَّى). ; 1.""تَلَقِّي الدَّرْسِ"" : تَلَقُّنُهُ. ; 2.""تَلَقِّي العِلْمِ"" : أَخْذُهُ، فَهْمُهُ. ; 3.""تَلَقِّي مُكالَمَةٍ هاتِفِيَّةٍ"" : التَّوَصُّلُ بِها هاتِفِيّاً. ; 4.""تَلَقِّي الضُّيوفِ"" : اِسْتِقْبالُهُمْ. ; 5.""تَلَقِّي الضَّرْبِ"" : تَحَمُّلُهُ. ; 6.""تَلَقِّي الأَوامِرِ"" : تَسَلُّمُها."
تَلَمُّسٌ,"[ل م س]. (مصدر تَلَمَّسَ). ; 1.""تَلَمُّسُ العَفْوِ"": تَطَلُّبُهُ مَرَّاتٍ. ; 2.""تَلَمُّسُ المادَّةِ"" : تَحَسُّسُها."
تَلَهٍّ، التَّلَهِّي,"[ل هـ و]. (مصدر تَلَهَّى). ; 1.""تَلَهِّي الطِّفْلِ بِاللُّعَبِ"": اِنْشِغالُهُ بِها. ; 2.""التَّلَهِّي عَنِ الدَّرْسِ"" : الإعْراضُ، الاِنْشِغالُ عَنْهُ. ; 3.""التَّلَهِّي بِتَبادُلِ النُّكَتِ"": التَّسَلِّي."
تَمَحَّصَ,"[م ح ص]. (فعل: خماسي لازم). تَمَحَّصَ، يَتَمَحَّصُ ، مصدر تَمَحُّصٌ. ""تَمَحَّصَ الظَّلامُ"" : اِنْكَشَفَ."
