word,definition
آتى,آتَى يُؤَاتِي آتِ مُؤَاتَاةً [أتي]:- ـه عليه: وأفقه عليه وجاراه؛آتتة الفرصة للتفوّق على أقرانه.
آتى,آتَى يُؤْتِي آتِ إِيتَاءَ [أتي]:- ــه الشيء: أعطاه إياه وَآتِ ذَا القُرْبَى حَقَّه.- إليه الشيءَ: ساقه إِليه.
أثأر,أَثْأََرَ يُثْئِرُ إِثآرًا : أخذ بالثأر؛ أثأر أهلُ القتيل من القاتل.
أثاب,أَثَابَ يُثِيبُ أَثِبْ إِثَابَةً [ ثوب]:-ـه: أعاده ورجعه؛ أثابه إلى بلده.- الشخصَ: كافأه او جازاه خيرًا أوشرًا فَأَثَابَهُمُ اللهُ بِمَا قَالُوا جَنَّاتٍ تَجْرِي مِنْ تحْتِهَا الأنْهَارُ خَالِدِينَ فِيهَا/ فَأَثَابَكُمْ غَمًّا بِغَمٍّ.
أثار,أَثَار يُثِيُر أَثِرْ إثَارةً وإثَاراً [ثور]: هيَّج ونشر؛ أغضبه وأثار أعصابه/ أثار انتباهه/ أثار فضوله/ أثار الضحك/ أثار الخلاف- - الأرض: حرثها للزراعة كَانُوا أَشَدَّ مِنْهُمْ قُوَّةً وَأَثَارُوا الأَرْضَ وَعَمَرُوهَا.- الأمرَ: بحثه واستقصاه؛ أثار الموضوع من جوانبه كلها ليصل إلى نتيجة.
أثبت,أَثْبتَ يُثْبتُ إثْباتًا :- الشيءَ: أقرَّه يَمْحُو اللَّهُ مَا يَشَاءُ وَيُثْبِت.- الحقَّ: أكَّده بالبينة والحجة؛ أثبت أنه جدير بما وصل إليه من مناصب رفيعة.- الكلامَ: سجّله؛ أثبت كل المراجع التي عاد إليها في بحثه.- الأمرَ: حقَّقه وصحَّحه؛ أثبت وجوده.- ـه: جعله ثابتًا مستقرًا في مكانه؛ أثبت العود في الأرض،- الجرادُ: غرز ذنبه في الأرض ليفقس.
أثبط,أَثْبَطَ يُثْبِطُ إثْباطًا :- ـه المرضُ: كاد لا يفارقه.
أث,أَثَّ يَؤُّثُّ أُثَّ أو اُؤْثُثْ أو يَئِثُّ اِئْثِثْ أَثًّا وأَثَاثةً :- النباتُ: كثر والتف.- الشعرُ: كثر وكثف وطال؛ لها شعر أسود يَؤُثُّ بسرعة.
أثث,أَثَّثَ يُؤَثِّثُ تَأْثِيثًا :- البيتَ: فرشه بالأثاث.-الفراشَ: مهَّده ووثره؛ أَثَّثَ الفراشَ لينام عليه الضيف.
أثر,أَثَّرَ يُؤَثِّرُ تأْثِيرًا :- فيه أو عليه: ترك فيه أثرًا، أي علامة؛ أثَّر التأنيب فيه/ أثّر الأدب التقليديّ على أسلوب هذا الكاتب.
